Location_Code,Zip_Code,Studio_Name,Studio_url,Address,Phone_Number,instructor_Name
90089,90048,ns-workout-inc,https://www.mindbodyonline.com/explore/locations/ns-workout-inc,"7916 Beverly Boulevard, Los Angeles, CA, 90048",3102724161,[]
90089,90048,love-for-pilates-central-la,https://www.mindbodyonline.com/explore/locations/love-for-pilates-central-la,"WEST HOLLYWOOD STUDIO 7926 Beverly Blvd, Los Angeles, CA, 90048",3108733288,"['Alexis', 'Dani', 'June', 'Alex', 'Tia', 'Bailie', 'Andrea', 'Morgan', 'Erin Lengkeek']"
90089,90028,cirque-school-la,https://www.mindbodyonline.com/explore/locations/cirque-school-la,"5640 1/2 Hollywood Boulevard, Los Angeles, CA, 90028",4242262477,"['Tristan', 'Marco', 'Ed', 'Rick', 'Rachel', 'Guest', 'James', 'Bailey', 'Kate', 'Aloysia', 'Gana', 'Justin', 'Aza']"
90089,90211,hot-8-yoga,https://www.mindbodyonline.com/explore/locations/hot-8-yoga,"8383 Wilshire Boulevard 75, Beverly Hills, CA, 90211",3109866420,"['Des M', 'Kristen T', 'Raea B', 'Derek G', 'Jeremy F', 'Jennifer L', 'Vulgar Yogi', 'Noelle N', 'Erika M', 'Mathilde P', 'Tiffany G', 'Whitney E', 'Chelsea Mosley', 'Bailey K', 'Staff', 'Aurora P', 'Antwan T', 'Kelly Choi', 'Jeff R', 'Lorenzo L', 'Carli K', 'Leon W', 'Stephanie H', 'Amber R', 'Kristina VO', 'Siera K', 'Takeshi K', 'Master Teacher: Francesca A', 'Ines W', 'Nikita P', 'Lala M', 'Briauna H', 'Cierra F', 'Christina B', 'Staff', 'Kerttu K', 'Clarissa K', 'Danielle L', 'Jana P', 'Ken T', 'Judy L', 'James C', 'Alessandra A', 'Brooke W', 'Bay Y', 'Yilin W', 'Zoe S', 'Annie P', 'Monica Remes', 'Melody B', 'Marie K', 'Pepper', 'Gabriel G', 'Adam T', 'Mashi', 'Corey S', 'Tia K', 'Poopack B', 'Cece T', 'Laurie D', 'Ryan N', 'Alina V', 'Allegra G', 'Chelsea S', 'Rory P', 'Steph S', 'Seriah Y', 'Nicole G', 'Anna B', 'Audrey B', 'Sarah P', 'Alison O', 'Emily H', 'Nicky C', 'Ashley S', 'Cire H', 'Patti R', 'Emilio C', 'Natasha W', 'Robert O', 'Rebekah Rivera', 'Jessica B', 'Vanessa E', 'Jim J', 'Lotus', 'Vicky Nguyen', 'Deanna A', 'Haley T', 'RC', 'Claire D.', 'Jenny Geyser', 'Lia K', 'Yahisha R', 'Christopher M.', 'Erika E', 'Roberto G']"
90089,90031,roam-la,https://www.mindbodyonline.com/explore/locations/roam-la,"1492 Blake Avenue, Los Angeles, CA, 90031",3235226588,"['Raquel Pennington', 'Beatrice Buenaventura', 'Cristina Schulman', 'Rae Scharfman', 'Chad Dennis', 'Luna Pierson', 'Tony G', 'Zoe Wirth', 'Hilary Staton', 'Alexandra Fratella', 'Jenn Perry', 'Jino De Castro', 'Jess Tanzer']"
90089,90028,f45-training-hollywood,https://www.mindbodyonline.com/explore/locations/f45-training-hollywood,"6430 Sunset Blvd #101, Los Angeles, CA, 90028",‪4246253441‬,"['Valentina Echavarria', 'F45 Trainer', 'Geo Gill', 'Fallon W', 'Helen D', 'Eve K', 'Jake S']"
90089,90232,solidcore-california,https://www.mindbodyonline.com/explore/locations/solidcore-california,"8900 Venice Boulevard Suite 106, Culver City, CA, 90232",4244344560,"['Maya Davis', 'Matthew Steven - Senior Master Coach', 'Ben Heustess - Training Manager', 'Aftin McKnight - Senior Area Manager', 'Triana Brown- Director of Talent and Product Development', 'Maggie Gibson - Senior Master Coach', 'Mckenzie Cunningham', 'Jill Horsfield', 'Daniella Urbina', 'Sarafina Lentricchia', 'Jeff McMullen', 'Larry Taylor', 'Kristine Green', 'Rosie Kreider', 'Abby Kerr - Recruiter', ""Connell O'Brien - Pro Coach"", 'Alisia Jimenez', 'Samantha Ricci', 'Andrea Mai-Tran', 'Brittany Conner', 'Cianna Penn - Head Coach and Community Manager', 'Lily Leyva - Head Coach and Community Manager', 'Melissa Picard - Pro Coach', 'Dario Arganese', 'Olivia Hamilton']"
90089,90028,sweatheory-central-la,https://www.mindbodyonline.com/explore/locations/sweatheory-central-la,"1503 North Cahuenga Boulevard, Los Angeles, CA, 90028",3109562307,"['KB Baldwin', 'Kyan Rios', 'Michael Kinnan', 'Celene Lee', 'Karim Shahada', 'Shaun-Meghan McNally RYT', 'ROCKY BROWN']"
90089,90048,members-only-boxing-fitness,https://www.mindbodyonline.com/explore/locations/members-only-boxing-fitness,"8250 West 3rd Street 205, Los Angeles, CA, 90048",3108674239,"['Coach Crystal', 'Coach Romie', 'Coach Devonric', 'Coach Caitlyn', 'Coach Kollins', 'Coach Chris', 'Coach Vic', 'Pacers: Brian; Yonathan; Vedika', 'Coach Umar', 'Pacers: Chip; Alejandra; Brian']"
90089,90048,heated-room,https://www.mindbodyonline.com/explore/locations/heated-room,"8231 West 3rd Street HEATED ROOM, Los Angeles, CA, 90048",3233946558,"['Lauren Safady', 'Brooke Marcy', 'Janina Washington', 'Dakota Kahn', 'Taylor Olson', 'Dede King', 'Monica Nordlin', 'Omar Lopez', 'Kelsi', 'Kate Bussell', 'Vanessa Dunn', 'Ali Arnkoff', 'Amber Laflamme', 'Marikah Baran', 'Dora Fish', 'Hannah Gross', 'Chelsea Roe', 'Bridget Scheiner', 'Chelle Mahoney', 'Janiece']"
90089,90027,siesta-yoga-central-la,https://www.mindbodyonline.com/explore/locations/siesta-yoga-central-la,"1825 North Western Avenue, Los Angeles, CA, 90027",3234649642,['Brandee Goatcher']
90089,90028,pilates-platinum-central-la,https://www.mindbodyonline.com/explore/locations/pilates-platinum-central-la,"1330 North Highland Avenue, Los Angeles, CA, 90028",8182092981,"['Nicole Daneshrad', 'Corinne Sill', 'Angie Slate', 'Danelle Petersen', 'Jacqueline Cheban', 'Mary Mehrkens', 'Sayeh Dayen', 'Haylee Durbin']"
90089,90039,motivate,https://www.mindbodyonline.com/explore/locations/motivate,"2468 Glendale Boulevard, Los Angeles, CA, 90039",8188585138,"['Amalia N', 'Kelly R', 'Motivate Staff', 'Maureen H', 'Taylor T', 'Michael B', 'Chizoba I', 'Katie H', 'Stephanie W', 'Courtney H', 'Cereza R', 'Dane M', 'Natalee E', 'Kacey B', 'Stevie D', 'Gillian G', 'Elsi F', 'Maya S', 'Holly K']"
90089,90034,the-relational-center,https://www.mindbodyonline.com/explore/locations/the-relational-center,"2717 South Robertson Boulevard First Floor, Los Angeles, CA, 90034",3239351807,[]
90089,90028,blankspaces-82789cf7,https://www.mindbodyonline.com/explore/locations/blankspaces-82789cf7,"6600 Sunset Boulevard, Los Angeles, CA, 90028",3233481380,[]
90506,90260,brazen-fit,https://www.mindbodyonline.com/explore/locations/brazen-fit,"15232 Fonthill Avenue, Lawndale, CA, 90260",4242229904,[]
90506,90260,nino-schembri-bjj-and-kyoga-studio,https://www.mindbodyonline.com/explore/locations/nino-schembri-bjj-and-kyoga-studio,"16714 Hawthorne Boulevard, Lawndale, CA, 90260",3103710600,[]
90506,90260,full-circle-athletics,https://www.mindbodyonline.com/explore/locations/full-circle-athletics,"15685 Hawthorne Boulevard, Lawndale, CA, 90260",3238267127,"['Cassius Pierce', 'Marlon Shamell', 'Kristen Lansburg']"
90506,90260,golfshac,https://www.mindbodyonline.com/explore/locations/golfshac,"4405b Redondo Beach Boulevard, Lawndale, CA, 90260",3105040064,[]
90506,90260,aqua-cycling-corp,https://www.mindbodyonline.com/explore/locations/aqua-cycling-corp,"14708 Hawthorne Boulevard Enter from back, Lawndale, CA, 90260",3108632533,"['Rowen', 'Giguere']"
90506,90260,we-rock-the-spectrum-redondo-beach,https://www.mindbodyonline.com/explore/locations/we-rock-the-spectrum-redondo-beach,"4451 Redondo Beach Boulevard Unit#B 2nd Floor, Lawndale, CA, 90260",3103187191,[]
90506,90260,southbay-sk8kids,https://www.mindbodyonline.com/explore/locations/southbay-sk8kids,"4612 Manhattan Beach Boulevard, Lawndale, CA, 90260",4244526250,"['SK8 KIDS STAFF', 'Kenny Bowen', 'Jason Tarango', 'Jesse Sullivan']"
90506,90260,prime-athletes-sports-performance-and-volleyball-training,https://www.mindbodyonline.com/explore/locations/prime-athletes-sports-performance-and-volleyball-training,"15705 Condon Avenue, Lawndale, CA, 90260",3109950093,[]
90506,90260,championship-performance-advantage,https://www.mindbodyonline.com/explore/locations/championship-performance-advantage,"15631 Condon Avenue, Lawndale, CA, 90260",4243489333,"['Brendan Schmidt', 'Kyle Becker', 'Lynn Flanagan', 'Greg Faulkner', 'Ashley Clark', 'Alyssa Munn', 'Kris Krause', 'Seamus McDonagh']"
90506,90249,the-jazz-standard-llc,https://www.mindbodyonline.com/explore/locations/the-jazz-standard-llc,"1640 139th Street, Gardena, CA, 90249",3234048679,"['Janette .', 'Tokyo Singletary', 'Kris .', 'Ronnie .', 'Lashada Jackson', 'Corneilus Carrell']"
90506,90250,beach-citiez-outpatient-surgical-center,https://www.mindbodyonline.com/explore/locations/beach-citiez-outpatient-surgical-center,"13865 Hawthorne Boulevard, Hawthorne, CA, 90250",3109707510,[]
90506,90504,zoom-room-torrance,https://www.mindbodyonline.com/explore/locations/zoom-room-torrance,"18521 Hawthorne Boulevard, Torrance, CA, 90504",3105702853,"['Cal', 'Khafren', 'Sarah S', 'Adrianna W.', 'Maz', 'ZR Staff', 'Jenn']"
90506,90278,black-house-redondo-beach,https://www.mindbodyonline.com/explore/locations/black-house-redondo-beach,"2416 Artesia Boulevard, Redondo Beach, CA, 90278",3103762953,['On Duty']
90506,90250,sweet-science-boxing-and-mma,https://www.mindbodyonline.com/explore/locations/sweet-science-boxing-and-mma,"12935 Hawthorne Boulevard, Hawthorne, CA, 90250",3106069171,"['Jamal Abdullah', 'Vaughn Cuttress', 'Tariq Shabazz', 'Nikki Nunez', 'Sean Smith', 'Front Desk', 'Danny Arpajon', 'John Hannah', 'Efrain Sevilla', 'Roberto Menjivar']"
90506,90266,stretch-lyfe,https://www.mindbodyonline.com/explore/locations/stretch-lyfe,"1101 North Aviation Boulevard, Manhattan Beach, CA, 90266",3109218253,[]
90506,90266,gyrotonic-south-bay,https://www.mindbodyonline.com/explore/locations/gyrotonic-south-bay,"1811 1/2 Manhattan Beach Blvd., Manhattan Beach, CA, 90266",4243980044,"['Ashley Dragon', 'Monica Bumatay', 'Yves-Lang Alloy']"
